目标机名,用户名,是否双屏,是否4k,资源名,角色
B003069,003069,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B003071,003071,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B003340,003340,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B003342,003342,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B003351,003351,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B003724,003724,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B003726,003726,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B003727,003727,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B003729,003729,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B003733,003733,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B004041,004041,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B004656,004656,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B004660,004660,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B004761,004761,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B004763,004763,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B004778,004778,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B004783,004783,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B004784,004784,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B004793,004793,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B004800,004800,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B004810,004810,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B004829,004829,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B004831,004831,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B004838,004838,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B004944,004944,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B004945,004945,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
B004976,004976,1,1,华泰证券-办公云桌面02,华泰证券-办公云桌面02
